REG,DEP,ARR,SEXE,AGE,AGE6,ACTEU,DIP7,PCS1Q,ANCCHOM,HHID,HH_TAILLE,HH_AGE,HH_DIP,HH_PCS,IS_CHOM
28,14,142,2,34,25,1,3,40,99,298,4,37,3,40,0
28,14,142,2,23,15,3,6,99,99,298,4,37,3,40,0
28,14,142,1,21,15,3,6,99,99,298,4,37,3,40,0
11,78,783,2,33,25,1,4,20,99,4788,2,33,4,20,0
11,78,783,1,30,25,2,5,99,2,4788,2,33,4,20,1
11,91,912,2,60,50,1,5,52,99,5552,4,60,5,52,0
11,91,912,1,53,50,1,7,61,99,5552,4,60,5,52,0
11,91,912,2,17,15,2,4,99,4,5552,4,60,5,52,1
11,91,912,2,21,15,3,4,99,99,5552,4,60,5,52,0
11,75,751,2,46,25,1,4,51,99,2761,2,46,4,51,0
11,75,751,1,21,15,3,6,99,99,2761,2,46,4,51,0
11,78,783,1,29,25,1,3,40,99,4838,2,41,2,40,0
11,78,783,2,41,25,1,2,40,99,4838,2,41,2,40,0
76,12,123,2,86,65,3,6,99,99,266,2,86,6,99,0
76,12,123,1,70,65,3,5,99,99,266,2,86,6,99,0
28,76,763,1,36,25,3,1,99,99,3892,2,41,1,30,0
28,76,763,1,41,25,1,1,30,99,3892,2,41,1,30,0
76,34,341,1,79,65,3,7,99,99,2121,1,79,7,99,0
76,65,653,1,54,50,1,2,30,99,2533,2,57,6,40,0
76,65,653,1,57,50,1,6,40,99,2533,2,57,6,40,0
11,94,941,2,75,65,3,2,99,99,7031,1,75,2,99,0
76,31,313,1,52,50,3,4,99,99,1246,2,54,5,52,0
76,31,313,2,54,50,1,5,52,99,1246,2,54,5,52,0
76,30,301,2,82,65,3,7,99,99,969,2,82,7,99,0
76,30,301,2,60,50,2,7,99,6,969,2,82,7,99,1
76,31,313,1,80,65,3,7,99,99,1620,1,80,7,99,0
11,75,751,2,35,25,1,7,62,99,3005,5,56,5,52,0
11,75,751,1,56,50,1,5,52,99,3005,5,56,5,52,0
11,75,751,1,21,15,1,4,40,99,3005,5,56,5,52,0
11,75,751,1,15,15,3,4,99,99,3005,5,56,5,52,0
11,75,751,2,16,15,3,6,99,99,3005,5,56,5,52,0
76,46,463,2,82,65,3,1,99,99,2153,1,82,1,99,0
11,94,943,2,42,25,1,2,40,99,6802,2,42,2,40,0
11,94,943,1,38,25,1,1,30,99,6802,2,42,2,40,0
11,95,952,2,88,65,1,3,10,99,7442,3,88,3,10,0
11,95,952,1,44,25,1,4,62,99,7442,3,88,3,10,0
11,95,952,1,54,50,1,5,10,99,7442,3,88,3,10,0
76,30,301,2,86,65,1,7,52,99,1048,2,86,7,52,0
76,30,301,1,62,50,1,7,20,99,1048,2,86,7,52,0
28,50,504,1,69,65,3,5,99,99,2379,2,69,5,99,0
28,50,504,1,58,50,3,5,99,99,2379,2,69,5,99,0
76,31,313,1,36,25,1,3,30,99,1632,2,40,1,30,0
76,31,313,2,40,25,1,1,30,99,1632,2,40,1,30,0
76,31,313,1,61,50,3,7,99,99,1357,1,61,7,99,0
11,91,911,2,76,65,3,4,99,99,5554,1,76,4,99,0
11,75,751,1,52,50,1,6,40,99,2888,2,52,6,40,0
11,75,751,2,30,25,1,3,51,99,2888,2,52,6,40,0
28,76,762,2,63,50,1,5,40,99,3595,2,63,5,40,0
28,76,762,1,63,50,1,5,20,99,3595,2,63,5,40,0
76,31,313,1,25,25,1,1,30,99,1140,2,36,1,30,0
76,31,313,2,36,25,1,1,30,99,1140,2,36,1,30,0
76,30,302,1,68,65,3,4,99,99,1100,2,72,4,99,0
76,30,302,2,72,65,3,4,99,99,1100,2,72,4,99,0
11,75,751,1,78,65,3,5,99,99,3456,2,84,7,99,0
11,75,751,2,84,65,3,7,99,99,3456,2,84,7,99,0
11,77,773,1,45,25,1,4,40,99,4387,2,45,4,40,0
11,77,773,2,30,25,1,2,20,99,4387,2,45,4,40,0
11,78,783,1,87,65,3,7,99,99,4871,1,87,7,99,0
28,76,763,2,70,65,1,5,52,99,3519,1,70,5,52,0
11,91,913,1,62,50,3,5,99,99,5539,3,89,7,99,0
11,91,913,1,75,65,3,7,99,99,5539,3,89,7,99,0
11,91,913,2,89,65,3,7,99,99,5539,3,89,7,99,0
76,65,652,1,71,65,3,7,99,99,2535,2,76,5,99,0
76,65,652,2,76,65,3,5,99,99,2535,2,76,5,99,0
76,81,812,2,73,65,3,7,99,99,5053,2,73,7,99,0
76,81,812,1,73,65,3,5,99,99,5053,2,73,7,99,0
76,34,343,1,81,65,3,5,99,99,1841,2,81,5,99,0
76,34,343,2,71,65,3,7,99,99,1841,2,81,5,99,0
76,34,341,2,76,65,3,3,99,99,1895,1,76,3,99,0
28,76,761,2,66,65,3,7,99,99,3800,1,66,7,99,0
11,78,783,2,30,25,1,3,51,99,4798,2,30,3,51,0
11,78,783,1,16,15,3,6,99,99,4798,2,30,3,51,0
11,75,751,2,75,65,3,3,99,99,2953,1,75,3,99,0
11,92,922,2,47,25,3,5,99,99,5909,2,47,5,99,0
11,92,922,1,39,25,1,7,20,99,5909,2,47,5,99,0
76,34,343,2,79,65,3,3,99,99,1889,1,79,3,99,0
11,93,933,2,30,25,1,1,20,99,6528,1,30,1,20,0
76,11,111,2,81,65,3,5,99,99,164,1,81,5,99,0
11,91,913,2,52,50,1,4,30,99,5384,2,73,5,99,0
11,91,913,1,73,65,3,5,99,99,5384,2,73,5,99,0
76,81,812,1,79,65,3,4,99,99,5067,2,79,4,99,0
76,81,812,2,67,65,3,3,99,99,5067,2,79,4,99,0
11,94,943,2,58,50,3,5,99,99,6953,1,58,5,99,0
11,77,773,1,68,65,3,4,99,99,3931,2,77,2,99,0
11,77,773,2,77,65,3,2,99,99,3931,2,77,2,99,0
76,82,822,2,84,65,3,3,99,99,5091,2,84,3,99,0
76,82,822,1,66,65,3,7,99,99,5091,2,84,3,99,0
11,75,751,2,32,25,1,2,40,99,2767,1,32,2,40,0
11,92,923,1,28,25,1,7,61,99,5707,5,31,7,52,0
11,92,923,2,31,25,1,7,52,99,5707,5,31,7,52,0
11,92,923,1,18,15,1,5,61,99,5707,5,31,7,52,0
11,92,923,2,16,15,3,5,99,99,5707,5,31,7,52,0
11,92,923,2,18,15,3,6,99,99,5707,5,31,7,52,0
11,92,922,2,36,25,3,5,99,99,5798,4,45,6,40,0
11,92,922,1,45,25,1,6,40,99,5798,4,45,6,40,0
11,92,922,2,17,15,3,7,99,99,5798,4,45,6,40,0
11,92,922,1,20,15,3,7,99,99,5798,4,45,6,40,0
11,93,932,1,57,50,1,3,10,99,6349,5,57,3,10,0
11,93,932,2,47,25,1,2,30,99,6349,5,57,3,10,0
11,93,932,2,22,15,3,4,99,99,6349,5,57,3,10,0
11,93,932,2,16,15,3,4,99,99,6349,5,57,3,10,0
11,93,932,1,16,15,3,6,99,99,6349,5,57,3,10,0
11,75,751,1,40,25,1,7,62,99,3107,1,40,7,62,0
76,11,112,1,63,50,1,5,52,99,129,2,66,7,99,0
76,11,112,2,66,65,3,7,99,99,129,2,66,7,99,0
76,31,313,2,51,50,3,5,99,99,1367,2,77,2,99,0
76,31,313,1,77,65,3,2,99,99,1367,2,77,2,99,0
11,93,931,2,75,65,3,5,99,99,6787,1,75,5,99,0
76,31,313,1,26,25,1,2,20,99,1142,2,48,1,30,0
76,31,313,2,48,25,1,1,30,99,1142,2,48,1,30,0
94,2A,2A1,2,40,25,2,5,99,1,789,3,40,5,99,1
94,2A,2A1,2,15,15,3,4,99,99,789,3,40,5,99,0
94,2A,2A1,1,16,15,3,6,99,99,789,3,40,5,99,0
11,94,941,1,32,25,3,5,99,99,6936,1,32,5,99,0
11,77,775,2,63,50,1,2,40,99,4371,1,63,2,40,0
28,14,142,2,53,50,1,3,51,99,371,2,56,5,30,0
28,14,142,1,56,50,1,5,30,99,371,2,56,5,30,0
76,34,342,2,76,65,3,5,99,99,1779,1,76,5,99,0
11,93,933,2,42,25,1,5,61,99,6439,3,42,5,61,0
11,93,933,1,25,25,1,1,20,99,6439,3,42,5,61,0
11,93,933,1,24,15,3,7,99,99,6439,3,42,5,61,0
11,75,751,2,63,50,1,5,51,99,2756,2,81,5,99,0
11,75,751,1,81,65,3,5,99,99,2756,2,81,5,99,0
11,91,913,1,38,25,1,4,62,99,5282,1,38,4,62,0
11,75,751,2,55,50,3,5,99,99,2873,2,86,5,99,0
11,75,751,1,86,65,3,5,99,99,2873,2,86,5,99,0
11,92,923,1,84,65,3,6,99,99,5802,2,84,6,99,0
11,92,923,1,72,65,3,5,99,99,5802,2,84,6,99,0
11,77,775,2,57,50,3,3,99,99,4174,1,57,3,99,0
11,91,913,2,80,65,3,5,99,99,5420,2,80,5,99,0
11,91,913,1,80,65,3,6,99,99,5420,2,80,5,99,0
11,75,751,2,54,50,1,4,51,99,3003,3,59,5,62,0
11,75,751,1,59,50,1,5,62,99,3003,3,59,5,62,0
11,75,751,1,21,15,3,6,99,99,3003,3,59,5,62,0
76,31,313,2,59,50,1,5,51,99,1176,2,61,5,99,0
76,31,313,1,61,50,3,5,99,99,1176,2,61,5,99,0
28,27,271,2,76,65,3,2,99,99,633,2,78,4,99,0
28,27,271,1,78,65,3,4,99,99,633,2,78,4,99,0
28,61,612,2,47,25,1,4,52,99,2435,1,47,4,52,0
28,61,613,1,77,65,3,4,99,99,2394,2,77,4,99,0
28,61,613,2,72,65,3,7,99,99,2394,2,77,4,99,0
76,34,341,2,76,65,3,6,99,99,1820,2,83,5,99,0
76,34,341,1,83,65,3,5,99,99,1820,2,83,5,99,0
76,31,313,2,29,25,1,5,61,99,1459,1,29,5,61,0
76,12,123,1,80,65,3,7,99,99,231,2,88,2,99,0
76,12,123,2,88,65,3,2,99,99,231,2,88,2,99,0
11,94,941,2,89,65,3,7,99,99,7097,1,89,7,99,0
76,30,301,1,22,15,1,4,30,99,1007,2,22,4,30,0
76,30,301,1,19,15,3,4,99,99,1007,2,22,4,30,0
76,11,113,1,16,15,3,4,99,99,120,2,20,4,99,0
76,11,113,1,20,15,3,4,99,99,120,2,20,4,99,0
28,61,613,1,41,25,1,1,51,99,2428,2,49,4,51,0
28,61,613,2,49,25,1,4,51,99,2428,2,49,4,51,0
11,93,931,1,71,65,3,1,99,99,6730,2,88,3,30,0
11,93,931,2,88,65,1,3,30,99,6730,2,88,3,30,0
76,31,313,2,63,50,1,5,52,99,1498,3,63,5,52,0
76,31,313,1,62,50,1,4,61,99,1498,3,63,5,52,0
76,31,313,2,22,15,3,6,99,99,1498,3,63,5,52,0
11,77,771,1,39,25,1,5,61,99,4349,2,39,5,61,0
11,77,771,2,32,25,1,5,51,99,4349,2,39,5,61,0
28,76,763,1,59,50,1,5,30,99,3869,2,59,5,30,0
28,76,763,2,59,50,1,7,51,99,3869,2,59,5,30,0
11,91,912,2,75,65,3,7,99,99,5281,2,80,7,99,0
11,91,912,1,80,65,3,7,99,99,5281,2,80,7,99,0
11,92,923,2,74,65,3,7,99,99,6074,1,74,7,99,0
11,75,751,1,73,65,3,7,99,99,3156,2,83,7,99,0
11,75,751,2,83,65,3,7,99,99,3156,2,83,7,99,0
11,92,922,2,39,25,1,1,30,99,6175,2,42,3,30,0
11,92,922,1,42,25,1,3,30,99,6175,2,42,3,30,0
76,09,092,1,76,65,3,5,99,99,49,2,76,5,99,0
76,09,092,2,65,65,3,5,99,99,49,2,76,5,99,0
11,91,913,1,65,65,3,5,99,99,5223,2,82,7,99,0
11,91,913,2,82,65,3,7,99,99,5223,2,82,7,99,0
11,94,943,1,87,65,3,3,99,99,7173,2,87,3,99,0
11,94,943,2,79,65,3,3,99,99,7173,2,87,3,99,0
11,95,951,1,36,25,1,3,40,99,7446,2,36,3,40,0
11,95,951,2,36,25,1,3,30,99,7446,2,36,3,40,0
11,95,952,1,58,50,1,6,40,99,7410,2,59,5,99,0
11,95,952,2,59,50,3,5,99,99,7410,2,59,5,99,0
11,78,782,1,83,65,3,3,99,99,4751,1,83,3,99,0
11,78,783,2,77,65,3,7,99,99,4514,1,77,7,99,0
28,61,611,1,39,25,1,4,40,99,2458,2,45,2,40,0
28,61,611,2,45,25,1,2,40,99,2458,2,45,2,40,0
11,91,913,1,63,50,3,1,99,99,5607,1,63,1,99,0
28,50,503,1,71,65,3,5,99,99,2376,2,71,5,99,0
28,50,503,2,71,65,3,3,99,99,2376,2,71,5,99,0
76,31,313,1,40,25,1,1,20,99,1333,1,40,1,20,0
28,76,763,1,26,25,1,5,20,99,3537,1,26,5,20,0
11,75,751,2,78,65,3,7,99,99,3123,1,78,7,99,0
11,95,952,2,86,65,3,7,99,99,7578,1,86,7,99,0
11,94,943,2,43,25,2,7,99,1,6797,2,43,7,99,1
11,94,943,1,43,25,1,7,61,99,6797,2,43,7,99,0
28,27,272,2,68,65,3,3,99,99,684,2,77,3,99,0
28,27,272,1,77,65,3,3,99,99,684,2,77,3,99,0
11,93,931,2,66,65,3,7,99,99,6737,1,66,7,99,0
28,61,612,2,82,65,3,5,99,99,2399,1,82,5,99,0
11,94,943,1,50,50,1,5,61,99,7223,1,50,5,61,0
76,66,662,2,48,25,1,5,51,99,2711,3,55,5,61,0
76,66,662,1,55,50,1,5,61,99,2711,3,55,5,61,0
76,66,662,1,19,15,3,6,99,99,2711,3,55,5,61,0
11,78,783,1,51,50,1,4,40,99,4911,1,51,4,40,0
76,34,343,2,40,25,1,1,40,99,1922,1,40,1,40,0
28,27,273,2,70,65,3,7,99,99,701,1,70,7,99,0
76,32,321,2,44,25,2,4,99,3,1665,2,47,1,99,1
76,32,321,1,47,25,2,1,99,4,1665,2,47,1,99,1
11,91,912,2,77,65,3,1,99,99,5581,1,77,1,99,0
76,34,341,1,42,25,2,1,99,1,1804,2,42,1,99,1
76,34,341,2,40,25,1,1,30,99,1804,2,42,1,99,0
11,94,942,2,67,65,1,3,40,99,7181,1,67,3,40,0
11,77,771,1,37,25,1,3,40,99,4300,1,37,3,40,0
28,76,763,1,19,15,3,2,99,99,3626,1,19,2,99,0
76,66,662,2,79,65,3,4,99,99,2651,1,79,4,99,0
76,30,302,1,80,65,3,7,99,99,1028,1,80,7,99,0
11,75,751,2,87,65,3,7,99,99,3085,1,87,7,99,0
11,92,921,2,60,50,1,1,40,99,5834,2,61,1,30,0
11,92,921,1,61,50,1,1,30,99,5834,2,61,1,30,0
76,31,313,1,66,65,3,4,99,99,1237,2,78,5,99,0
76,31,313,2,78,65,3,5,99,99,1237,2,78,5,99,0
11,77,771,2,68,65,3,7,99,99,4360,1,68,7,99,0
11,95,953,1,65,65,3,7,99,99,7669,1,65,7,99,0
11,75,751,1,35,25,1,5,51,99,3186,2,35,5,51,0
11,75,751,2,30,25,1,5,52,99,3186,2,35,5,51,0
76,30,302,1,32,25,1,1,30,99,1091,2,32,1,30,0
76,30,302,2,29,25,1,1,51,99,1091,2,32,1,30,0
76,12,123,2,79,65,1,5,52,99,202,1,79,5,52,0
11,75,751,1,42,25,1,5,61,99,3207,2,42,5,61,0
11,75,751,1,27,25,1,7,52,99,3207,2,42,5,61,0
76,11,113,1,46,25,1,4,62,99,62,1,46,4,62,0
28,14,142,2,68,65,3,5,99,99,407,2,68,5,99,0
28,14,142,2,42,25,1,6,52,99,407,2,68,5,99,0
28,76,761,1,59,50,3,2,99,99,3521,1,59,2,99,0
28,14,141,2,73,65,3,7,99,99,340,1,73,7,99,0
76,30,302,1,40,25,1,3,30,99,1083,2,40,3,30,0
76,30,302,2,38,25,1,4,20,99,1083,2,40,3,30,0
11,91,913,2,66,65,3,7,99,99,5579,1,66,7,99,0
11,77,775,2,36,25,1,4,62,99,4337,2,37,4,40,0
11,77,775,1,37,25,1,4,40,99,4337,2,37,4,40,0
11,93,932,1,73,65,3,4,99,99,6654,2,73,4,99,0
11,93,932,2,66,65,3,7,99,99,6654,2,73,4,99,0
11,91,912,1,80,65,3,3,99,99,5180,1,80,3,99,0
11,77,773,2,46,25,1,2,40,99,4060,2,46,2,40,0
11,77,773,1,36,25,1,1,30,99,4060,2,46,2,40,0
76,31,312,1,59,50,1,1,20,99,1170,4,59,1,20,0
76,31,312,2,54,50,1,1,40,99,1170,4,59,1,20,0
76,31,312,1,23,15,3,4,99,99,1170,4,59,1,20,0
76,31,312,1,18,15,3,6,99,99,1170,4,59,1,20,0
76,34,341,2,59,50,1,2,40,99,1993,1,59,2,40,0
11,92,922,2,33,25,1,4,30,99,5961,2,52,3,99,0
11,92,922,1,52,50,3,3,99,99,5961,2,52,3,99,0
11,77,775,1,87,65,3,4,99,99,3989,2,87,4,99,0
11,77,775,2,73,65,3,1,99,99,3989,2,87,4,99,0
11,78,783,1,66,65,3,5,99,99,4555,2,66,5,99,0
11,78,783,2,60,50,1,5,52,99,4555,2,66,5,99,0
11,78,783,1,29,25,2,7,99,1,4846,1,29,7,99,1
76,31,313,2,54,50,1,4,20,99,1617,1,54,4,20,0
11,75,751,2,43,25,2,5,99,8,3018,1,43,5,99,1
76,31,311,2,88,65,3,5,99,99,1238,1,88,5,99,0
11,93,931,2,24,15,3,3,99,99,6555,1,24,3,99,0
76,31,312,1,17,15,3,1,99,99,1330,1,17,1,99,0
11,91,913,1,66,65,3,2,99,99,5379,1,66,2,99,0
11,75,751,2,68,65,3,7,99,99,2957,1,68,7,99,0
76,31,313,1,57,50,3,3,99,99,1346,1,57,3,99,0
28,14,142,2,54,50,2,4,99,8,363,2,87,7,99,1
28,14,142,2,87,65,3,7,99,99,363,2,87,7,99,0
28,27,272,2,68,65,3,5,99,99,659,1,68,5,99,0
28,76,763,1,56,50,1,7,52,99,3901,1,56,7,52,0
11,77,775,2,38,25,1,7,62,99,4168,1,38,7,62,0
11,95,953,2,41,25,1,4,51,99,7299,1,41,4,51,0
28,14,142,2,52,50,3,4,99,99,426,3,81,5,99,0
28,14,142,1,81,65,3,5,99,99,426,3,81,5,99,0
28,14,142,1,29,25,3,5,99,99,426,3,81,5,99,0
11,78,783,1,58,50,1,3,30,99,4865,2,64,1,40,0
11,78,783,2,64,50,1,1,40,99,4865,2,64,1,40,0
28,14,142,2,36,25,1,1,30,99,522,2,36,1,30,0
28,14,142,1,35,25,1,1,30,99,522,2,36,1,30,0
11,94,943,2,74,65,3,5,99,99,7103,2,77,7,99,0
11,94,943,1,77,65,3,7,99,99,7103,2,77,7,99,0
11,78,782,2,56,50,1,1,30,99,4863,3,56,1,30,0
11,78,782,1,18,15,3,2,99,99,4863,3,56,1,30,0
11,78,782,1,24,15,3,4,99,99,4863,3,56,1,30,0
11,92,922,1,32,25,1,2,30,99,6115,1,32,2,30,0
28,61,613,2,73,65,3,1,99,99,2470,1,73,1,99,0
11,92,922,2,51,50,1,2,30,99,5919,3,51,2,30,0
11,92,922,1,22,15,3,4,99,99,5919,3,51,2,30,0
11,92,922,1,20,15,1,3,40,99,5919,3,51,2,30,0
76,11,113,2,43,25,1,1,51,99,115,2,43,1,51,0
76,11,113,2,41,25,1,1,30,99,115,2,43,1,51,0
76,31,313,1,48,25,2,5,99,2,1232,1,48,5,99,1
11,94,941,2,53,50,3,7,99,99,6922,1,53,7,99,0
76,12,122,1,74,65,3,7,99,99,265,2,76,7,99,0
76,12,122,2,76,65,3,7,99,99,265,2,76,7,99,0
11,75,751,2,81,65,3,4,99,99,3384,2,81,4,99,0
11,75,751,1,73,65,3,6,99,99,3384,2,81,4,99,0
28,76,763,2,28,25,1,2,40,99,3858,1,28,2,40,0
11,94,943,1,66,65,3,7,99,99,7155,1,66,7,99,0
11,92,923,2,62,50,1,5,52,99,6172,1,62,5,52,0
28,76,761,1,43,25,1,3,40,99,3625,2,43,3,40,0
28,76,761,2,39,25,1,2,51,99,3625,2,43,3,40,0
11,92,922,2,67,65,3,7,99,99,6054,2,87,7,99,0
11,92,922,1,87,65,3,7,99,99,6054,2,87,7,99,0
76,30,302,2,84,65,3,7,99,99,886,2,87,5,99,0
76,30,302,1,87,65,3,5,99,99,886,2,87,5,99,0
11,94,942,2,40,25,1,4,40,99,6927,3,40,4,40,0
11,94,942,1,26,25,1,4,10,99,6927,3,40,4,40,0
11,94,942,1,20,15,1,4,62,99,6927,3,40,4,40,0
11,93,932,1,46,25,1,4,61,99,6606,2,46,4,61,0
11,93,932,2,37,25,1,5,61,99,6606,2,46,4,61,0
76,30,302,2,41,25,1,2,52,99,957,2,41,2,52,0
76,30,302,1,40,25,1,5,61,99,957,2,41,2,52,0
76,81,811,1,41,25,1,3,40,99,4950,3,43,4,51,0
76,81,811,2,43,25,1,4,51,99,4950,3,43,4,51,0
76,81,811,2,21,15,3,6,99,99,4950,3,43,4,51,0
76,82,821,2,61,50,2,3,99,6,5105,3,61,3,99,1
76,82,821,2,16,15,2,4,99,2,5105,3,61,3,99,1
76,82,821,1,52,50,1,4,30,99,5105,3,61,3,99,0
11,94,943,1,59,50,1,5,62,99,6825,3,59,5,62,0
11,94,943,2,55,50,1,5,52,99,6825,3,59,5,62,0
11,94,943,1,28,25,1,6,62,99,6825,3,59,5,62,0
76,82,822,2,52,50,1,5,51,99,5135,3,52,5,51,0
